ticker,headline,cleaned_headline,companies,people,event_type,sentiment,confidence,market_reaction,reaction_confidence,expected_price_move,trading_signal,current_price,previous_close,percent_change
AAPL,MTUM Investors: Watch Micron’s Weight at the November Reconstitution,mtum investors watch microns weight at the november reconstitution,,,General News,NEUTRAL,0.9229,Neutral,High,0%,HOLD,292.48,289.36,1.0782
AAPL,"Trump’s Crypto Billions, Apple Stock, and More From His Latest Financial Filing","trumps crypto billions, apple stock, and more from his latest financial filing",Apple,,General News,NEUTRAL,0.9198,Neutral,High,0%,HOLD,292.48,289.36,1.0782
AAPL,Stock Markets Enter a Crucial Period as Investors Play Defense to Inflation Risks,stock markets enter a crucial period as investors play defense to inflation risks,,,Economic,NEUTRAL,0.6365,Neutral,Low,0%,HOLD,292.48,289.36,1.0782
AAPL,EU tech chief and Apple CEO had a constructive talk on topics of common interest,eu tech chief and apple ceo had a constructive talk on topics of common interest,Apple,,General News,NEUTRAL,0.8233,Neutral,Medium,0%,HOLD,292.48,289.36,1.0782
AAPL,"Henry Ford, Steve Jobs, William Boeing: These Fortune 500 founders are the American-born children of immigrants","henry ford, steve jobs, william boeing these fortune 500 founders are the americanborn children of immigrants",,,General News,NEUTRAL,0.929,Neutral,High,0%,HOLD,292.48,289.36,1.0782
AAPL,"As Big Tech showers employees with perks to win the talent war, Nvidia built a nearly $5 trillion company by making people pay for their own lunch","as big tech showers employees with perks to win the talent war, nvidia built a nearly $5 trillion company by making people pay for their own lunch",Nvidia,,General News,NEUTRAL,0.8733,Neutral,High,0%,HOLD,292.48,289.36,1.0782
AAPL,This Bond Maven Is Worried About ‘Excesses’ in the Market. How He’s Investing.,this bond maven is worried about excesses in the market. how hes investing.,,,General News,NEUTRAL,0.891,Neutral,High,0%,HOLD,292.48,289.36,1.0782
AAPL,Update: Dow Hits Fresh High as Wall Street Posts Solid Quarterly Gains,update dow hits fresh high as wall street posts solid quarterly gains,,,Earnings,POSITIVE,0.8721,Bullish,High,+2.62%,BUY,292.48,289.36,1.0782
AAPL,What Could Send Google Stock Into A New Gear?,what could send google stock into a new gear?,Google,,General News,NEUTRAL,0.6268,Neutral,Low,0%,HOLD,292.48,289.36,1.0782
AAPL,Apple is trying to address AI-related cybersecurity risks. What's going on?,apple is trying to address airelated cybersecurity risks. whats going on?,Apple,,General News,NEUTRAL,0.7115,Neutral,Medium,0%,HOLD,292.48,289.36,1.0782
